Id,Label
3917934,Javier Cid
1157957,Martin Fernandez
840055,DPua Martinez
1644957,Samuel Ruíz BICICLINIC CC
861153,Ivan Vam
5029599,Juan HF
6250533,Jose Sanchez Navarro
1821115,Miguel A. Cornellá
6245270,rober sanchez martinez
3236709,jose gonzalezBttBSF L´H
2131290,Miguel Angel Bici-osos
6535652,Eduard Querol
3908898,Jaume Pereira
5504592,Jordi Cabrero  RETOOLS
973693,Sergio Carbono
3853045,Jose Antonio Reloba
2040280,JUSTO LB / CobrasTEAM
5015973,oliver jarque
7398131,Sergio Bikehome Team
1185023,Beto Carroggio
2876405,F E R
2053152,"MANEL,MERINO C.C.RATPENAT"
547565,D.F.R. ALPCROSS
299065,Javier Arredondo
3539161,Miguel Cc Rat Penat
1855274,Thomas De Gendt
1655561,Roy Jérémy
479385,Wilco Kelderman
4587013,Thomas Degand
1389861,TOMATO DOSNOVENTA
2387206,Globero 1
1432185,Oscar Viniegra
4378691,Jose Antonio Fernandez Sanchez
1659872,Oliver VIudez
10740035,Eduardo Izquierdo
1075406,Luis Fernandez
1041078,Victor Caballé Bladé
10629613,Julen Marshall
1427705,"Alexis ""TomasDomingo"""
2894233,Aitor Sanz
3913802,Jose Maqui
1108522,Tony Gallardo PROBIKE
1809499,Ferran Sprint Bike
9329491,Antonio Moreno
3355415,Jaume Duran
5882472,xavier Cots
4657068,Manuel Jimenez
5573221,José Luis Pérez Rodríguez
123114,Ismael Ventura
1925463,Sergix Shaman Team
16387,Øyvind Aas
1961589,Ivan Oulego
2083692,Oriol Probike
1359797,Oscar Ferrer
771131,mauro carne
668162,Carlos Portilla
761551,Pedro Anglada
1168895,Manuel ATRAPALO
8771820,Adrià Montserrat Salvatella
177024,Abdón  Cayero
6936488,Paul Moorage
3234707,Pablo Velat
1497589,Ibon Zugasti Arrese
6390713,Roger Adrià
6467180,Albert Castella Sapé
614691,Javier Salamero KING BCN RC
2624527,Albert Nafría
155290,Levi Leipheimer
1692235,Lucas Mola
776311,Jose A. Lopez Gomez
1766809,Oscar Muñoz/PROBIKE
1083994,Eme Romer /Alpcross
278772,Robert Soley BSNTS
1256145,"Jesus Pau VÈRTIC "
11444264,Alex C
1625801,Oriol Perera
1637296,Adam Alonso
4287392,Robert Ton
6499657,Rafael Molina 43
6829924,Eduardo Abian
4518268,Sergio Palmero BttBSF L'H
3384936,Ilde Sumotordepersianas
1467223,Joan Guillamat
1265720,Pol Romero
567766,josh Biciclinic
2423187,Marc Arañó
3964613,Andrés López
251070,"Àngel Marco ""Bucles"" BSNTS"
1423325,Isma Martín
946943,Oscar Berral
5772041,Carlos Mendez
1310844,Deivid Jarram
1385181,Alex Caballero  (RR Bikers)
896095,Jony  .
4030821,Aritz Iriarte
4494827,joaquin escudero
2447079,Rogelio Rodriguez - Tona Bikes
11158588,"Marc Puig, GoVegan!"
3017142,M??ARC ??.
2223236,Andre  Cafeducycliste.com
4859767,Xavi Fas
428395,marc de maar
7458585,"René Aamand ""SCB"" / ""WITL?"""
1274326,Xavi Buzon
1319565,Miguel Angel Gómez
5481041,bnog .
2117883,Carles Ramírez
7193743,Kasper Christensen
3002956,Marcus Ballnath
1882081,Salatiel Barros
573108,Daniel Gonzalez
1077628,Daniel Campos Hull
1981138,Xavier PALLEJA (Insaciables bike)
2153813,David Barcelo
2359572,Toni Juba
2004765,Oscar Teijeiro (RR Bikers)
1151506,Octavi Grau  SHAMAN TEAM
788578,Xavier Nafría
1068669,Marc Castanye Panyella
3558852,Roberto Moreno
2789429,"Miguel  moreno "
5379747,Xavi Sanchez
808828,jasper hermsen
199926,Nurul Momin Ahmed BikeTraining
7078088,Cal DiCal
3512225,Jordi www.bcnonboard.com
3364388,Ruben Rodriguez - MAKROBIKE
11456825,Joan Del Rio
12834893,Matti De Bruyne
2345368,roberto bou martin
1737903,Thomas Lund
1076590,Hector HMGentrenamiento.com
6354428,Eloy de la Fuente
173968,Gabriel Nogueira CCGràcia
3885666,Aitor Garay
5694142,Marc Villalba
1724829,David Flaggio
8750069,Marc Canet
2494190,Lucas Chirico
6533624,Nacho Petit Gil
1193998,Ivan Arroyo
3274159,Daniel Carbó
3851278,"Jesus 26""Ti"
1055377,Manuel  Villalba(RR Bikers)
2004220,Nano Nano
538415,Raul Lopez Ramos
1093012,Riqui Pantani
3916508,Francesco De Pasquale
4697413,Tomahawk .
525832,Raúl Vallecillos
3230990,Lolo Marin CcNoLimits
6390559,Dani Velasco
2154099,johnny arce
4838217,Carlos Molina Guisado
5896645,Carlos Lapuerta
11468326,Marcos Doblas
351663,David Dalmau
12586897,SUILEUNG TSE
10324146,Mauro Banelli
12557612,Eusebio M
4138390,Jofre Obrador
4403860,josep nuñez
2036897,Jaume Estrada
526287,ferrAn Marsà
9800830,Jose Luis Alvarez
1164871,FREHNER  ALPCROSS
1759786,Alejandro Surroca (RCR19)
5622769,Javier González
5300850,Javier Palacio
297984,Quim pagès
284330,Iván Romo
1503703,Gonzalo King Bikes
1674019,Moi Gimeno (Fomula Extrem Bike Shop)
1643992,Eugenio Led
4108326,Mario Vasilev
3040324,Toralainen ST bcmkt
2509260,Maarten Klijnstra
1864941,Pau Moltó
7366141,Miguel Betanzos
1710706,Cristian Astals
1540153,xongoku sergio pedrero
5317756,Jose Sanz Garcia
1129744,Daniel Moreno
4411008,David Girodon
344229,Joan Francolí
423495,Dominique Rollin
3488421,Albert Lorente
1546243,Jussi Veikkanen
1758948,roger barranco pons
2801177,Harald Grimm
6269734,Andre Lahouter
1018573,Andreas Danielsen
3615917,Ogies C
1143918,endurer atipic
178272,Luca Giovannini
6257037,ulf S
335430,Pep Tatché
440611,Oriol Escolano Navés
6325948,Robert RcB
5352720,Arturo Martinez (RR Bikers)
898095,Oscar Del Baño C.C MEDINA
1331135,Roman Iglesias
5708381,Alex Sastre
1453793,"Daniel FVA "
552317,Peter Lykke
2212052,F J
227328,Gary Willis
274316,Ramonet Sagués
1295802,Juan Gasso
2187225,Cristian Salazar KING BCN RC
709355,Pau Egeda
1454249,Diego Lozano
1472303,Paco Po
6350800,José Navarro García
6344338,Isidro Peña
7984176,Nico Debs
900711,J. Jara (M.M)
6881009,Ramón Márquez
7004015,Julián Fierro
7139040,Alberto Fernandez
783551,Christian Sawatzki
1925212,David Martínez Serrano
1018552,Tomas CUERPER
3872414,Matias Lorusso
4403381,Ramon Guimerà
2849631,Raul Montoya Urquiza
3808415,Pablo Morales
6709453,Roberto Recio
3065972,David Juan
1048481,Oscar Rosinach
437248,Marc Díaz
805089,Eduardo Ratera
542230,Antoine Flori
1007381,François Riva
412859,Rich Baker
1300047,Xavier Garrido
1281017,HECTOR ABAD [BERRIA RACING TEAM CATALUNYA]
1083417,Jordi  Espinar [Tomas Domingo]
2806838,Nicholas Varani
1586081,Axel Pierre
158793,Strava Athlete
3569497,Kyle Murphy
263407,Walton Brush
8134409,Ryan Howells
5947739,Mattia Legor Cicli
1656489,Farid Farhumand
2380478,Javier Bertos
1803490,Tim Nottage
1043365,Jordi Soler
8568658,Óscar Castillo
6318215,Gonzalo Perales
757670,Matt Player
1319122,Albano Rabassa
933919,"rastabyke Attitudebikes "
1445499,Sergio Quintana
7128876,Paco Duque
3990124,Anders Chabert
1706762,Paul Crossley
1469137,Jordi Vigo
6057472,Mario La Pergola
2512658,edgar martinez
1986208,Carles Ferreres (MegaBici)
3244099,Pato Rossi
1077699,Eduardo Horacio
512651,Toni Gil
1161897,Jose María Benítez
1001616,Fernando Alonso
1299262,DE AMOS GARCIA BADAGGIOTEAM
1176913,Pablo Benito
427612,David Galvany
1039595,Stefan Gissler
3303307,Jesús Aranda RCR19
1666274,Jan Willem Bolderdijk
4001071,Paco García Cala
738059,Pablo López Aguirre
7515409,Jordi Arias Ruiz
545740,Jonathan Rubio Esteban
1521653,Oscar Iglesias
7400804,Adrian Merino
429730,Carlos Díaz
7323189,Alejandro Gomez Diaz
1926068,Lucky C.C. No Limits
1038517,Riki Español
1099003,Sergio Soriano Moreno
6301641,Rafael Diaz
10870429,Aleksey Pertuz Barrera
1516399,Gaston Barreto
1208755,Andres Rabal (Badabici)
4242448,Jose A Calvo
1944298,Nuria Monzonis Martinez
4520938,Miguel Angel García Ruiz
